Epoch 0 | Train Loss: 4.360 | Train Acc: 3.318%
Epoch 1 | Train Loss: 3.966 | Train Acc: 6.892%
Epoch 2 | Train Loss: 3.673 | Train Acc: 10.584%
Epoch 3 | Train Loss: 3.376 | Train Acc: 15.020%
Epoch 4 | Train Loss: 3.105 | Train Acc: 20.082%
Epoch 5 | Train Loss: 2.894 | Train Acc: 24.160%
Epoch 6 | Train Loss: 2.702 | Train Acc: 28.180%
Epoch 7 | Train Loss: 2.512 | Train Acc: 32.396%
Epoch 8 | Train Loss: 2.351 | Train Acc: 36.164%
Epoch 9 | Train Loss: 2.215 | Train Acc: 39.420%
Epoch 10 | Train Loss: 2.068 | Train Acc: 42.962%
Epoch 11 | Train Loss: 1.949 | Train Acc: 45.760%
Epoch 12 | Train Loss: 1.856 | Train Acc: 48.352%
Epoch 13 | Train Loss: 1.755 | Train Acc: 50.768%
Epoch 14 | Train Loss: 1.673 | Train Acc: 53.040%
Epoch 15 | Train Loss: 1.596 | Train Acc: 54.994%
Epoch 16 | Train Loss: 1.531 | Train Acc: 56.812%
Epoch 17 | Train Loss: 1.452 | Train Acc: 58.770%
Epoch 18 | Train Loss: 1.394 | Train Acc: 60.114%
Epoch 19 | Train Loss: 1.341 | Train Acc: 61.562%
Epoch 20 | Train Loss: 1.276 | Train Acc: 63.552%
Epoch 21 | Train Loss: 1.225 | Train Acc: 64.688%
Epoch 22 | Train Loss: 1.168 | Train Acc: 66.284%
Epoch 23 | Train Loss: 1.131 | Train Acc: 67.154%
Epoch 24 | Train Loss: 1.087 | Train Acc: 68.248%
Epoch 25 | Train Loss: 1.042 | Train Acc: 69.570%
Epoch 26 | Train Loss: 1.004 | Train Acc: 70.700%
Epoch 27 | Train Loss: 0.958 | Train Acc: 71.942%
Epoch 28 | Train Loss: 0.918 | Train Acc: 73.038%
Epoch 29 | Train Loss: 0.885 | Train Acc: 73.676%
Epoch 30 | Train Loss: 0.855 | Train Acc: 74.786%
Epoch 31 | Train Loss: 0.810 | Train Acc: 75.984%
Epoch 32 | Train Loss: 0.775 | Train Acc: 76.800%
Epoch 33 | Train Loss: 0.756 | Train Acc: 77.410%
Epoch 34 | Train Loss: 0.728 | Train Acc: 78.468%
Epoch 35 | Train Loss: 0.702 | Train Acc: 79.054%
Epoch 36 | Train Loss: 0.673 | Train Acc: 79.968%
Epoch 37 | Train Loss: 0.644 | Train Acc: 80.718%
Epoch 38 | Train Loss: 0.620 | Train Acc: 81.508%
Epoch 39 | Train Loss: 0.601 | Train Acc: 82.096%
Epoch 40 | Train Loss: 0.575 | Train Acc: 82.714%
Epoch 41 | Train Loss: 0.556 | Train Acc: 83.248%
Epoch 42 | Train Loss: 0.537 | Train Acc: 83.900%
Epoch 43 | Train Loss: 0.525 | Train Acc: 84.190%
Epoch 44 | Train Loss: 0.493 | Train Acc: 85.214%
Epoch 45 | Train Loss: 0.484 | Train Acc: 85.450%
Epoch 46 | Train Loss: 0.465 | Train Acc: 85.984%
Epoch 47 | Train Loss: 0.449 | Train Acc: 86.594%
Epoch 48 | Train Loss: 0.440 | Train Acc: 86.884%
Epoch 49 | Train Loss: 0.420 | Train Acc: 87.468%
Epoch 50 | Train Loss: 0.405 | Train Acc: 87.854%
Epoch 51 | Train Loss: 0.400 | Train Acc: 87.982%
Epoch 52 | Train Loss: 0.384 | Train Acc: 88.496%
Epoch 53 | Train Loss: 0.379 | Train Acc: 88.692%
Epoch 54 | Train Loss: 0.364 | Train Acc: 89.076%
Epoch 55 | Train Loss: 0.351 | Train Acc: 89.592%
Epoch 56 | Train Loss: 0.343 | Train Acc: 89.902%
Epoch 57 | Train Loss: 0.329 | Train Acc: 90.262%
Epoch 58 | Train Loss: 0.325 | Train Acc: 90.332%
Epoch 59 | Train Loss: 0.314 | Train Acc: 90.744%
Epoch 60 | Train Loss: 0.305 | Train Acc: 91.028%
Epoch 61 | Train Loss: 0.302 | Train Acc: 91.216%
Epoch 62 | Train Loss: 0.295 | Train Acc: 91.384%
Epoch 63 | Train Loss: 0.289 | Train Acc: 91.594%
Epoch 64 | Train Loss: 0.284 | Train Acc: 91.734%
Epoch 65 | Train Loss: 0.271 | Train Acc: 92.230%
Epoch 66 | Train Loss: 0.266 | Train Acc: 92.262%
Epoch 67 | Train Loss: 0.264 | Train Acc: 92.536%
Epoch 68 | Train Loss: 0.254 | Train Acc: 92.592%
Epoch 69 | Train Loss: 0.249 | Train Acc: 92.836%
Epoch 70 | Train Loss: 0.248 | Train Acc: 92.920%
Epoch 71 | Train Loss: 0.237 | Train Acc: 93.258%
Epoch 72 | Train Loss: 0.240 | Train Acc: 93.170%
Epoch 73 | Train Loss: 0.229 | Train Acc: 93.462%
Epoch 74 | Train Loss: 0.223 | Train Acc: 93.674%
Epoch 75 | Train Loss: 0.221 | Train Acc: 93.898%
Epoch 76 | Train Loss: 0.224 | Train Acc: 93.744%
Epoch 77 | Train Loss: 0.219 | Train Acc: 94.026%
Epoch 78 | Train Loss: 0.219 | Train Acc: 93.854%
Epoch 79 | Train Loss: 0.202 | Train Acc: 94.586%
Epoch 80 | Train Loss: 0.131 | Train Acc: 96.840%
Epoch 81 | Train Loss: 0.099 | Train Acc: 97.828%
Epoch 82 | Train Loss: 0.088 | Train Acc: 98.310%
Epoch 83 | Train Loss: 0.083 | Train Acc: 98.410%
Epoch 84 | Train Loss: 0.077 | Train Acc: 98.618%
Epoch 85 | Train Loss: 0.074 | Train Acc: 98.620%
Epoch 86 | Train Loss: 0.073 | Train Acc: 98.706%
Epoch 87 | Train Loss: 0.067 | Train Acc: 98.776%
Epoch 88 | Train Loss: 0.066 | Train Acc: 98.906%
Epoch 89 | Train Loss: 0.066 | Train Acc: 98.884%
Epoch 90 | Train Loss: 0.064 | Train Acc: 98.928%
Epoch 91 | Train Loss: 0.064 | Train Acc: 98.956%
Epoch 92 | Train Loss: 0.060 | Train Acc: 99.068%
Epoch 93 | Train Loss: 0.061 | Train Acc: 99.072%
Epoch 94 | Train Loss: 0.059 | Train Acc: 99.064%
Epoch 95 | Train Loss: 0.056 | Train Acc: 99.190%
Epoch 96 | Train Loss: 0.056 | Train Acc: 99.212%
Epoch 97 | Train Loss: 0.056 | Train Acc: 99.188%
Epoch 98 | Train Loss: 0.055 | Train Acc: 99.236%
Epoch 99 | Train Loss: 0.056 | Train Acc: 99.168%

🏆 Best Training Accuracy: 99.236%
