Epoch 0 | Train Loss: 4.336 | Train Acc: 3.344%
Epoch 1 | Train Loss: 4.092 | Train Acc: 6.400%
Epoch 2 | Train Loss: 3.686 | Train Acc: 10.106%
Epoch 3 | Train Loss: 3.445 | Train Acc: 14.114%
Epoch 4 | Train Loss: 3.143 | Train Acc: 19.222%
Epoch 5 | Train Loss: 2.891 | Train Acc: 24.486%
Epoch 6 | Train Loss: 2.666 | Train Acc: 28.998%
Epoch 7 | Train Loss: 2.483 | Train Acc: 33.166%
Epoch 8 | Train Loss: 2.311 | Train Acc: 37.026%
Epoch 9 | Train Loss: 2.178 | Train Acc: 40.368%
Epoch 10 | Train Loss: 2.043 | Train Acc: 43.586%
Epoch 11 | Train Loss: 1.927 | Train Acc: 46.110%
Epoch 12 | Train Loss: 1.837 | Train Acc: 48.716%
Epoch 13 | Train Loss: 1.749 | Train Acc: 50.822%
Epoch 14 | Train Loss: 1.664 | Train Acc: 53.206%
Epoch 15 | Train Loss: 1.591 | Train Acc: 55.050%
Epoch 16 | Train Loss: 1.520 | Train Acc: 56.904%
Epoch 17 | Train Loss: 1.450 | Train Acc: 58.664%
Epoch 18 | Train Loss: 1.388 | Train Acc: 60.318%
Epoch 19 | Train Loss: 1.335 | Train Acc: 61.722%
Epoch 20 | Train Loss: 1.280 | Train Acc: 63.062%
Epoch 21 | Train Loss: 1.229 | Train Acc: 64.724%
Epoch 22 | Train Loss: 1.177 | Train Acc: 65.908%
Epoch 23 | Train Loss: 1.132 | Train Acc: 67.194%
Epoch 24 | Train Loss: 1.089 | Train Acc: 67.996%
Epoch 25 | Train Loss: 1.044 | Train Acc: 69.346%
Epoch 26 | Train Loss: 0.999 | Train Acc: 70.816%
Epoch 27 | Train Loss: 0.963 | Train Acc: 71.650%
Epoch 28 | Train Loss: 0.926 | Train Acc: 72.854%
Epoch 29 | Train Loss: 0.889 | Train Acc: 73.778%
Epoch 30 | Train Loss: 0.865 | Train Acc: 74.464%
Epoch 31 | Train Loss: 0.825 | Train Acc: 75.640%
Epoch 32 | Train Loss: 0.793 | Train Acc: 76.626%
Epoch 33 | Train Loss: 0.774 | Train Acc: 76.842%
Epoch 34 | Train Loss: 0.739 | Train Acc: 78.144%
Epoch 35 | Train Loss: 0.714 | Train Acc: 78.774%
Epoch 36 | Train Loss: 0.687 | Train Acc: 79.464%
Epoch 37 | Train Loss: 0.667 | Train Acc: 79.950%
Epoch 38 | Train Loss: 0.637 | Train Acc: 80.794%
Epoch 39 | Train Loss: 0.614 | Train Acc: 81.728%
Epoch 40 | Train Loss: 0.595 | Train Acc: 82.154%
Epoch 41 | Train Loss: 0.577 | Train Acc: 82.796%
Epoch 42 | Train Loss: 0.553 | Train Acc: 83.286%
Epoch 43 | Train Loss: 0.532 | Train Acc: 83.930%
Epoch 44 | Train Loss: 0.518 | Train Acc: 84.528%
Epoch 45 | Train Loss: 0.502 | Train Acc: 85.014%
Epoch 46 | Train Loss: 0.488 | Train Acc: 85.306%
Epoch 47 | Train Loss: 0.467 | Train Acc: 85.832%
Epoch 48 | Train Loss: 0.455 | Train Acc: 86.410%
Epoch 49 | Train Loss: 0.445 | Train Acc: 86.706%
Epoch 50 | Train Loss: 0.429 | Train Acc: 87.182%
Epoch 51 | Train Loss: 0.413 | Train Acc: 87.608%
Epoch 52 | Train Loss: 0.403 | Train Acc: 87.986%
Epoch 53 | Train Loss: 0.394 | Train Acc: 88.176%
Epoch 54 | Train Loss: 0.389 | Train Acc: 88.378%
Epoch 55 | Train Loss: 0.372 | Train Acc: 88.838%
Epoch 56 | Train Loss: 0.359 | Train Acc: 89.352%
Epoch 57 | Train Loss: 0.356 | Train Acc: 89.402%
Epoch 58 | Train Loss: 0.340 | Train Acc: 89.974%
Epoch 59 | Train Loss: 0.342 | Train Acc: 89.998%
Epoch 60 | Train Loss: 0.333 | Train Acc: 90.154%
Epoch 61 | Train Loss: 0.314 | Train Acc: 90.734%
Epoch 62 | Train Loss: 0.313 | Train Acc: 90.832%
Epoch 63 | Train Loss: 0.314 | Train Acc: 90.684%
Epoch 64 | Train Loss: 0.305 | Train Acc: 91.106%
Epoch 65 | Train Loss: 0.289 | Train Acc: 91.600%
