Epoch 0 | Train Loss: 4.362 | Train Acc: 3.350%
Epoch 1 | Train Loss: 4.086 | Train Acc: 6.746%
Epoch 2 | Train Loss: 3.704 | Train Acc: 10.310%
Epoch 3 | Train Loss: 3.403 | Train Acc: 14.864%
Epoch 4 | Train Loss: 3.151 | Train Acc: 19.378%
Epoch 5 | Train Loss: 2.927 | Train Acc: 23.818%
Epoch 6 | Train Loss: 2.725 | Train Acc: 28.132%
Epoch 7 | Train Loss: 2.532 | Train Acc: 32.114%
Epoch 8 | Train Loss: 2.360 | Train Acc: 36.042%
Epoch 9 | Train Loss: 2.207 | Train Acc: 39.496%
Epoch 10 | Train Loss: 2.067 | Train Acc: 43.028%
Epoch 11 | Train Loss: 1.958 | Train Acc: 45.530%
Epoch 12 | Train Loss: 1.872 | Train Acc: 47.998%
Epoch 13 | Train Loss: 1.776 | Train Acc: 50.116%
Epoch 14 | Train Loss: 1.695 | Train Acc: 52.774%
Epoch 15 | Train Loss: 1.626 | Train Acc: 54.280%
Epoch 16 | Train Loss: 1.562 | Train Acc: 55.922%
Epoch 17 | Train Loss: 1.495 | Train Acc: 57.942%
Epoch 18 | Train Loss: 1.436 | Train Acc: 59.066%
Epoch 19 | Train Loss: 1.376 | Train Acc: 60.668%
Epoch 20 | Train Loss: 1.315 | Train Acc: 62.322%
Epoch 21 | Train Loss: 1.263 | Train Acc: 63.832%
Epoch 22 | Train Loss: 1.219 | Train Acc: 64.900%
Epoch 23 | Train Loss: 1.168 | Train Acc: 65.972%
Epoch 24 | Train Loss: 1.130 | Train Acc: 67.018%
Epoch 25 | Train Loss: 1.083 | Train Acc: 68.258%
Epoch 26 | Train Loss: 1.040 | Train Acc: 69.674%
Epoch 27 | Train Loss: 0.989 | Train Acc: 71.122%
Epoch 28 | Train Loss: 0.957 | Train Acc: 71.928%
Epoch 29 | Train Loss: 0.920 | Train Acc: 72.794%
Epoch 30 | Train Loss: 0.888 | Train Acc: 73.970%
Epoch 31 | Train Loss: 0.843 | Train Acc: 75.136%
Epoch 32 | Train Loss: 0.813 | Train Acc: 76.108%
Epoch 33 | Train Loss: 0.788 | Train Acc: 76.668%
Epoch 34 | Train Loss: 0.756 | Train Acc: 77.636%
Epoch 35 | Train Loss: 0.735 | Train Acc: 78.128%
Epoch 36 | Train Loss: 0.698 | Train Acc: 79.204%
Epoch 37 | Train Loss: 0.675 | Train Acc: 79.858%
Epoch 38 | Train Loss: 0.647 | Train Acc: 80.580%
Epoch 39 | Train Loss: 0.624 | Train Acc: 81.370%
Epoch 40 | Train Loss: 0.598 | Train Acc: 82.096%
Epoch 41 | Train Loss: 0.580 | Train Acc: 82.658%
Epoch 42 | Train Loss: 0.561 | Train Acc: 83.126%
Epoch 43 | Train Loss: 0.544 | Train Acc: 83.506%
Epoch 44 | Train Loss: 0.512 | Train Acc: 84.650%
Epoch 45 | Train Loss: 0.510 | Train Acc: 84.816%
