Epoch 0 | Train Loss: 4.353 | Train Acc: 3.468%
Epoch 1 | Train Loss: 4.073 | Train Acc: 6.918%
Epoch 2 | Train Loss: 3.645 | Train Acc: 11.236%
Epoch 3 | Train Loss: 3.377 | Train Acc: 15.308%
Epoch 4 | Train Loss: 3.171 | Train Acc: 18.910%
Epoch 5 | Train Loss: 2.947 | Train Acc: 23.244%
Epoch 6 | Train Loss: 2.731 | Train Acc: 27.536%
Epoch 7 | Train Loss: 2.523 | Train Acc: 32.398%
Epoch 8 | Train Loss: 2.346 | Train Acc: 36.498%
Epoch 9 | Train Loss: 2.207 | Train Acc: 39.766%
Epoch 10 | Train Loss: 2.067 | Train Acc: 43.222%
Epoch 11 | Train Loss: 1.944 | Train Acc: 46.074%
Epoch 12 | Train Loss: 1.853 | Train Acc: 48.314%
Epoch 13 | Train Loss: 1.758 | Train Acc: 51.064%
Epoch 14 | Train Loss: 1.679 | Train Acc: 52.658%
Epoch 15 | Train Loss: 1.604 | Train Acc: 54.526%
Epoch 16 | Train Loss: 1.538 | Train Acc: 56.410%
Epoch 17 | Train Loss: 1.470 | Train Acc: 58.198%
Epoch 18 | Train Loss: 1.411 | Train Acc: 59.856%
Epoch 19 | Train Loss: 1.352 | Train Acc: 61.220%
Epoch 20 | Train Loss: 1.301 | Train Acc: 62.566%
Epoch 21 | Train Loss: 1.249 | Train Acc: 63.992%
Epoch 22 | Train Loss: 1.196 | Train Acc: 65.330%
Epoch 23 | Train Loss: 1.148 | Train Acc: 66.700%
Epoch 24 | Train Loss: 1.112 | Train Acc: 67.584%
Epoch 25 | Train Loss: 1.064 | Train Acc: 68.834%
Epoch 26 | Train Loss: 1.027 | Train Acc: 69.986%
Epoch 27 | Train Loss: 0.971 | Train Acc: 71.598%
Epoch 28 | Train Loss: 0.947 | Train Acc: 72.272%
Epoch 29 | Train Loss: 0.908 | Train Acc: 73.380%
Epoch 30 | Train Loss: 0.878 | Train Acc: 74.162%
Epoch 31 | Train Loss: 0.835 | Train Acc: 75.408%
Epoch 32 | Train Loss: 0.805 | Train Acc: 76.362%
Epoch 33 | Train Loss: 0.780 | Train Acc: 76.932%
Epoch 34 | Train Loss: 0.752 | Train Acc: 77.562%
Epoch 35 | Train Loss: 0.723 | Train Acc: 78.410%
Epoch 36 | Train Loss: 0.693 | Train Acc: 79.430%
Epoch 37 | Train Loss: 0.670 | Train Acc: 79.756%
Epoch 38 | Train Loss: 0.644 | Train Acc: 80.784%
Epoch 39 | Train Loss: 0.620 | Train Acc: 81.454%
Epoch 40 | Train Loss: 0.596 | Train Acc: 82.294%
Epoch 41 | Train Loss: 0.580 | Train Acc: 82.596%
Epoch 42 | Train Loss: 0.558 | Train Acc: 83.378%
Epoch 43 | Train Loss: 0.543 | Train Acc: 83.584%
Epoch 44 | Train Loss: 0.516 | Train Acc: 84.662%
Epoch 45 | Train Loss: 0.509 | Train Acc: 84.740%
Epoch 46 | Train Loss: 0.487 | Train Acc: 85.436%
Epoch 47 | Train Loss: 0.472 | Train Acc: 85.936%
Epoch 48 | Train Loss: 0.456 | Train Acc: 86.298%
