Epoch 0 | Train Loss: 1.588 | Train Acc: 41.184%
Epoch 1 | Train Loss: 1.164 | Train Acc: 62.102%
Epoch 2 | Train Loss: 0.826 | Train Acc: 72.148%
Epoch 3 | Train Loss: 0.674 | Train Acc: 77.678%
Epoch 4 | Train Loss: 0.585 | Train Acc: 80.842%
Epoch 5 | Train Loss: 0.515 | Train Acc: 83.216%
Epoch 6 | Train Loss: 0.461 | Train Acc: 85.194%
Epoch 7 | Train Loss: 0.421 | Train Acc: 86.574%
Epoch 8 | Train Loss: 0.379 | Train Acc: 88.064%
Epoch 9 | Train Loss: 0.351 | Train Acc: 88.760%
Epoch 10 | Train Loss: 0.325 | Train Acc: 89.924%
Epoch 11 | Train Loss: 0.300 | Train Acc: 90.734%
Epoch 12 | Train Loss: 0.280 | Train Acc: 91.336%
Epoch 13 | Train Loss: 0.261 | Train Acc: 92.046%
Epoch 14 | Train Loss: 0.240 | Train Acc: 92.670%
Epoch 15 | Train Loss: 0.227 | Train Acc: 93.032%
Epoch 16 | Train Loss: 0.214 | Train Acc: 93.532%
Epoch 17 | Train Loss: 0.197 | Train Acc: 94.134%
Epoch 18 | Train Loss: 0.186 | Train Acc: 94.466%
Epoch 19 | Train Loss: 0.178 | Train Acc: 94.890%
Epoch 20 | Train Loss: 0.173 | Train Acc: 94.922%
Epoch 21 | Train Loss: 0.156 | Train Acc: 95.614%
Epoch 22 | Train Loss: 0.154 | Train Acc: 95.660%
Epoch 23 | Train Loss: 0.145 | Train Acc: 95.906%
Epoch 24 | Train Loss: 0.137 | Train Acc: 96.244%
Epoch 25 | Train Loss: 0.132 | Train Acc: 96.304%
Epoch 26 | Train Loss: 0.127 | Train Acc: 96.548%
Epoch 27 | Train Loss: 0.119 | Train Acc: 96.790%
Epoch 28 | Train Loss: 0.113 | Train Acc: 97.106%
Epoch 29 | Train Loss: 0.112 | Train Acc: 97.054%
Epoch 30 | Train Loss: 0.101 | Train Acc: 97.434%
Epoch 31 | Train Loss: 0.103 | Train Acc: 97.304%
Epoch 32 | Train Loss: 0.097 | Train Acc: 97.520%
Epoch 33 | Train Loss: 0.092 | Train Acc: 97.598%
Epoch 34 | Train Loss: 0.098 | Train Acc: 97.532%
Epoch 35 | Train Loss: 0.083 | Train Acc: 97.946%
Epoch 36 | Train Loss: 0.085 | Train Acc: 97.848%
Epoch 37 | Train Loss: 0.081 | Train Acc: 97.938%
Epoch 38 | Train Loss: 0.078 | Train Acc: 97.988%
Epoch 39 | Train Loss: 0.073 | Train Acc: 98.110%
Epoch 40 | Train Loss: 0.077 | Train Acc: 97.978%
Epoch 41 | Train Loss: 0.068 | Train Acc: 98.276%
Epoch 42 | Train Loss: 0.065 | Train Acc: 98.376%
Epoch 43 | Train Loss: 0.065 | Train Acc: 98.368%
Epoch 44 | Train Loss: 0.066 | Train Acc: 98.304%
Epoch 45 | Train Loss: 0.067 | Train Acc: 98.316%
Epoch 46 | Train Loss: 0.055 | Train Acc: 98.640%
Epoch 47 | Train Loss: 0.064 | Train Acc: 98.400%
Epoch 48 | Train Loss: 0.059 | Train Acc: 98.512%
Epoch 49 | Train Loss: 0.052 | Train Acc: 98.752%
Epoch 50 | Train Loss: 0.053 | Train Acc: 98.652%
Epoch 51 | Train Loss: 0.058 | Train Acc: 98.536%
Epoch 52 | Train Loss: 0.052 | Train Acc: 98.636%
Epoch 53 | Train Loss: 0.048 | Train Acc: 98.754%
Epoch 54 | Train Loss: 0.049 | Train Acc: 98.778%
Epoch 55 | Train Loss: 0.051 | Train Acc: 98.718%
Epoch 56 | Train Loss: 0.130 | Train Acc: 97.020%
Epoch 57 | Train Loss: 0.068 | Train Acc: 98.226%
Epoch 58 | Train Loss: 0.055 | Train Acc: 98.682%
Epoch 59 | Train Loss: 0.042 | Train Acc: 99.112%
Epoch 60 | Train Loss: 0.045 | Train Acc: 99.004%
Epoch 61 | Train Loss: 0.047 | Train Acc: 98.926%
Epoch 62 | Train Loss: 0.040 | Train Acc: 99.166%
Epoch 63 | Train Loss: 0.042 | Train Acc: 99.050%
Epoch 64 | Train Loss: 0.047 | Train Acc: 98.878%
Epoch 65 | Train Loss: 0.046 | Train Acc: 98.900%
Epoch 66 | Train Loss: 0.040 | Train Acc: 99.080%
Epoch 67 | Train Loss: 0.042 | Train Acc: 98.962%
Epoch 68 | Train Loss: 0.044 | Train Acc: 99.000%
Epoch 69 | Train Loss: 0.059 | Train Acc: 98.434%
Epoch 70 | Train Loss: 0.043 | Train Acc: 98.962%
Epoch 71 | Train Loss: 0.034 | Train Acc: 99.234%
Epoch 72 | Train Loss: 0.037 | Train Acc: 99.112%
Epoch 73 | Train Loss: 0.037 | Train Acc: 99.126%
Epoch 74 | Train Loss: 0.037 | Train Acc: 99.136%
Epoch 75 | Train Loss: 0.034 | Train Acc: 99.196%
Epoch 76 | Train Loss: 0.033 | Train Acc: 99.208%
Epoch 77 | Train Loss: 0.044 | Train Acc: 98.874%
Epoch 78 | Train Loss: 0.033 | Train Acc: 99.242%
Epoch 79 | Train Loss: 0.035 | Train Acc: 99.204%
Epoch 80 | Train Loss: 0.023 | Train Acc: 99.556%
Epoch 81 | Train Loss: 0.017 | Train Acc: 99.780%
Epoch 82 | Train Loss: 0.016 | Train Acc: 99.838%
Epoch 83 | Train Loss: 0.014 | Train Acc: 99.898%
Epoch 84 | Train Loss: 0.014 | Train Acc: 99.898%
Epoch 85 | Train Loss: 0.013 | Train Acc: 99.922%
Epoch 86 | Train Loss: 0.012 | Train Acc: 99.942%
Epoch 87 | Train Loss: 0.013 | Train Acc: 99.912%
Epoch 88 | Train Loss: 0.012 | Train Acc: 99.948%
Epoch 89 | Train Loss: 0.012 | Train Acc: 99.948%
Epoch 90 | Train Loss: 0.012 | Train Acc: 99.958%
Epoch 91 | Train Loss: 0.012 | Train Acc: 99.950%
Epoch 92 | Train Loss: 0.011 | Train Acc: 99.946%
Epoch 93 | Train Loss: 0.011 | Train Acc: 99.948%
Epoch 94 | Train Loss: 0.011 | Train Acc: 99.968%
Epoch 95 | Train Loss: 0.011 | Train Acc: 99.954%
Epoch 96 | Train Loss: 0.011 | Train Acc: 99.950%
Epoch 97 | Train Loss: 0.010 | Train Acc: 99.974%
Epoch 98 | Train Loss: 0.011 | Train Acc: 99.952%
Epoch 99 | Train Loss: 0.010 | Train Acc: 99.960%

🏆 Best Training Accuracy: 99.974%
