Epoch 0 | Train Loss: 1.677 | Train Acc: 35.934%
Epoch 1 | Train Loss: 1.205 | Train Acc: 60.144%
Epoch 2 | Train Loss: 0.903 | Train Acc: 69.490%
Epoch 3 | Train Loss: 0.767 | Train Acc: 74.648%
Epoch 4 | Train Loss: 0.674 | Train Acc: 78.164%
Epoch 5 | Train Loss: 0.610 | Train Acc: 80.564%
Epoch 6 | Train Loss: 0.549 | Train Acc: 82.526%
Epoch 7 | Train Loss: 0.501 | Train Acc: 84.016%
Epoch 8 | Train Loss: 0.467 | Train Acc: 85.352%
Epoch 9 | Train Loss: 0.431 | Train Acc: 86.478%
Epoch 10 | Train Loss: 0.404 | Train Acc: 87.618%
Epoch 11 | Train Loss: 0.374 | Train Acc: 88.502%
Epoch 12 | Train Loss: 0.351 | Train Acc: 89.296%
Epoch 13 | Train Loss: 0.334 | Train Acc: 89.772%
Epoch 14 | Train Loss: 0.311 | Train Acc: 90.604%
Epoch 15 | Train Loss: 0.292 | Train Acc: 91.138%
Epoch 16 | Train Loss: 0.275 | Train Acc: 91.748%
Epoch 17 | Train Loss: 0.255 | Train Acc: 92.424%
Epoch 18 | Train Loss: 0.247 | Train Acc: 92.600%
Epoch 19 | Train Loss: 0.234 | Train Acc: 92.986%
Epoch 20 | Train Loss: 0.222 | Train Acc: 93.438%
Epoch 21 | Train Loss: 0.206 | Train Acc: 93.940%
Epoch 22 | Train Loss: 0.198 | Train Acc: 94.240%
Epoch 23 | Train Loss: 0.191 | Train Acc: 94.422%
Epoch 24 | Train Loss: 0.178 | Train Acc: 94.926%
Epoch 25 | Train Loss: 0.173 | Train Acc: 95.066%
Epoch 26 | Train Loss: 0.161 | Train Acc: 95.464%
Epoch 27 | Train Loss: 0.154 | Train Acc: 95.652%
Epoch 28 | Train Loss: 0.146 | Train Acc: 95.904%
Epoch 29 | Train Loss: 0.138 | Train Acc: 96.196%
Epoch 30 | Train Loss: 0.133 | Train Acc: 96.382%
Epoch 31 | Train Loss: 0.131 | Train Acc: 96.488%
Epoch 32 | Train Loss: 0.123 | Train Acc: 96.738%
Epoch 33 | Train Loss: 0.116 | Train Acc: 97.048%
Epoch 34 | Train Loss: 0.113 | Train Acc: 96.992%
Epoch 35 | Train Loss: 0.111 | Train Acc: 97.144%
Epoch 36 | Train Loss: 0.107 | Train Acc: 97.186%
Epoch 37 | Train Loss: 0.101 | Train Acc: 97.462%
Epoch 38 | Train Loss: 0.100 | Train Acc: 97.442%
Epoch 39 | Train Loss: 0.097 | Train Acc: 97.546%
Epoch 40 | Train Loss: 0.092 | Train Acc: 97.746%
Epoch 41 | Train Loss: 0.093 | Train Acc: 97.634%
Epoch 42 | Train Loss: 0.090 | Train Acc: 97.816%
Epoch 43 | Train Loss: 0.083 | Train Acc: 98.056%
Epoch 44 | Train Loss: 0.084 | Train Acc: 98.058%
Epoch 45 | Train Loss: 0.082 | Train Acc: 98.068%
Epoch 46 | Train Loss: 0.080 | Train Acc: 98.104%
Epoch 47 | Train Loss: 0.080 | Train Acc: 98.132%
Epoch 48 | Train Loss: 0.076 | Train Acc: 98.298%
Epoch 49 | Train Loss: 0.075 | Train Acc: 98.330%
Epoch 50 | Train Loss: 0.073 | Train Acc: 98.388%
Epoch 51 | Train Loss: 0.069 | Train Acc: 98.490%
Epoch 52 | Train Loss: 0.072 | Train Acc: 98.368%
Epoch 53 | Train Loss: 0.070 | Train Acc: 98.454%
Epoch 54 | Train Loss: 0.068 | Train Acc: 98.534%
Epoch 55 | Train Loss: 0.065 | Train Acc: 98.618%
Epoch 56 | Train Loss: 0.066 | Train Acc: 98.596%
Epoch 57 | Train Loss: 0.065 | Train Acc: 98.516%
Epoch 58 | Train Loss: 0.060 | Train Acc: 98.726%
Epoch 59 | Train Loss: 0.063 | Train Acc: 98.656%
Epoch 60 | Train Loss: 0.059 | Train Acc: 98.808%
Epoch 61 | Train Loss: 0.060 | Train Acc: 98.742%
Epoch 62 | Train Loss: 0.059 | Train Acc: 98.730%
Epoch 63 | Train Loss: 0.059 | Train Acc: 98.782%
Epoch 64 | Train Loss: 0.057 | Train Acc: 98.824%
Epoch 65 | Train Loss: 0.057 | Train Acc: 98.834%
Epoch 66 | Train Loss: 0.055 | Train Acc: 98.866%
Epoch 67 | Train Loss: 0.056 | Train Acc: 98.796%
Epoch 68 | Train Loss: 0.053 | Train Acc: 98.972%
Epoch 69 | Train Loss: 0.053 | Train Acc: 98.968%
Epoch 70 | Train Loss: 0.054 | Train Acc: 98.900%
Epoch 71 | Train Loss: 0.051 | Train Acc: 98.998%
Epoch 72 | Train Loss: 0.053 | Train Acc: 98.916%
Epoch 73 | Train Loss: 0.052 | Train Acc: 98.992%
Epoch 74 | Train Loss: 0.049 | Train Acc: 99.078%
Epoch 75 | Train Loss: 0.050 | Train Acc: 99.024%
Epoch 76 | Train Loss: 0.049 | Train Acc: 99.008%
Epoch 77 | Train Loss: 0.047 | Train Acc: 99.144%
Epoch 78 | Train Loss: 0.049 | Train Acc: 99.098%
Epoch 79 | Train Loss: 0.048 | Train Acc: 99.064%
Epoch 80 | Train Loss: 0.032 | Train Acc: 99.668%
Epoch 81 | Train Loss: 0.028 | Train Acc: 99.788%
Epoch 82 | Train Loss: 0.026 | Train Acc: 99.806%
Epoch 83 | Train Loss: 0.026 | Train Acc: 99.856%
Epoch 84 | Train Loss: 0.024 | Train Acc: 99.886%
Epoch 85 | Train Loss: 0.024 | Train Acc: 99.894%
Epoch 86 | Train Loss: 0.024 | Train Acc: 99.900%
Epoch 87 | Train Loss: 0.024 | Train Acc: 99.898%
Epoch 88 | Train Loss: 0.024 | Train Acc: 99.906%
Epoch 89 | Train Loss: 0.023 | Train Acc: 99.938%
Epoch 90 | Train Loss: 0.023 | Train Acc: 99.924%
Epoch 91 | Train Loss: 0.023 | Train Acc: 99.920%
Epoch 92 | Train Loss: 0.023 | Train Acc: 99.928%
Epoch 93 | Train Loss: 0.022 | Train Acc: 99.940%
Epoch 94 | Train Loss: 0.022 | Train Acc: 99.936%
Epoch 95 | Train Loss: 0.022 | Train Acc: 99.948%
Epoch 96 | Train Loss: 0.022 | Train Acc: 99.940%
Epoch 97 | Train Loss: 0.022 | Train Acc: 99.936%
Epoch 98 | Train Loss: 0.022 | Train Acc: 99.936%
Epoch 99 | Train Loss: 0.022 | Train Acc: 99.948%

🏆 Best Training Accuracy: 99.948%
